Datetime,UNIT_ID,Ctrlmode,IU_TON_Cap,OU1Ta,OU1ThexLiq,OU1Tsh,OU1TLiqPipe,OU1Pc,OU1Pe,OU1Tc,OU1Te,OU1EV1pls,OU1EV2pls,OU1HP,OU1FanStep,OU1TAccIn,OU1INVCur,OU1INVrps,OU1Td,OU1Fanrps,OU1Fan2rps,OU1INVCopt,OU1INVCOnOffN,DefrostN,OU1PcMKS,OU1PeMKS,Tc(Rp),Te(Rp),SHdis,SHsuc,TLiq,TCondTPOut,SCLiq(Rp),ModifySC(Rp),RLI(Rp),CCDI
2020-11-24 22:00:00,760.0,19.0,14.2,11.0,10.0,10.0,34.0,23.2,9.5,39.0,9.0,260.0,0.0,10.0,7.0,10.0,8.0,15.0,53.0,750.0,0.0,36.0,0.0,0.0,2376.468049795,1032.956999795,39.15724672182836,8.243829250455633,13.842753,1.756171,34.0,39.15724672182836,5.157247,0.18315878150124473,0.8331713,
2020-11-25 00:00:00,760.0,19.0,7.1,11.0,9.0,10.0,40.0,26.8,9.2,45.0,8.0,240.0,0.0,10.0,1.0,11.0,10.0,15.0,64.0,350.0,0.0,60.0,0.0,0.0,2729.507449795,1003.5370497949999,44.937479651873446,7.2823232153630215,19.06252,3.717677,40.0,44.937479651873446,4.93748,0.14548752737822818,0.8688764,
2020-11-25 01:00:00,760.0,19.0,7.1,11.0,9.0,10.0,41.0,27.4,9.2,46.0,8.0,220.0,0.0,10.0,1.0,11.0,10.0,15.0,64.0,350.0,0.0,39.0,1.0,0.0,2788.347349795,1003.5370497949999,45.84443855943209,7.2823232153630215,18.155561,3.717677,41.0,45.84443855943209,4.844439,0.13903047947629082,0.8743731,
2020-11-25 02:00:00,760.0,19.0,7.1,11.0,9.0,9.0,41.0,27.4,9.5,46.0,9.0,140.0,80.0,10.0,1.0,9.0,10.0,15.0,64.0,350.0,0.0,54.0,1.0,0.0,2788.347349795,1032.956999795,45.84443855943209,8.243829250455633,18.155561,0.756171,41.0,45.84443855943209,4.844439,0.13903047947629082,0.8711606,
2020-11-25 04:00:00,760.0,19.0,7.1,11.0,9.0,10.0,41.0,26.8,9.2,45.0,8.0,200.0,0.0,10.0,7.0,12.0,10.0,15.0,63.0,790.0,0.0,58.0,2.0,1.0,2729.507449795,1003.5370497949999,44.937479651873446,7.2823232153630215,18.06252,4.717677,41.0,44.937479651873446,3.93748,0.11602157969272299,0.8954332,
2020-11-25 05:00:00,760.0,19.0,7.1,12.0,-11.0,12.0,1.0,10.3,5.2,11.0,-8.0,860.0,0.0,10.0,8.0,9.0,4.0,16.0,65.0,800.0,0.0,60.0,0.0,0.0,1111.4101997950002,611.2710497950001,10.710802812920974,-8.194839855873624,54.289197,17.19484,1.0,10.710802812920974,9.710803,0.0,0.4863543,
2020-11-25 06:00:00,760.0,19.0,7.1,11.0,8.0,10.0,40.0,28.6,8.9,48.0,7.0,200.0,0.0,10.0,7.0,12.0,11.0,15.0,64.0,790.0,0.0,37.0,1.0,0.0,2906.0271497950002,974.1170997950001,47.61508484535182,6.299359427382285,16.384915,5.700641,40.0,47.61508484535182,7.615085,0.20797671320886515,0.8156856,
2020-11-25 07:00:00,760.0,19.0,7.1,11.0,7.0,7.0,41.0,29.2,8.9,49.0,7.0,120.0,120.0,10.0,1.0,11.0,12.0,15.0,67.0,350.0,0.0,48.0,0.0,0.0,2964.867049795,974.1170997950001,48.47973917390766,6.299359427382285,18.520261,4.700641,41.0,48.47973917390766,7.479739,0.19956753074757747,0.8226726,
2020-11-25 10:00:00,760.0,19.0,14.2,13.0,10.0,12.0,40.0,30.8,9.5,51.0,9.0,240.0,0.0,10.0,7.0,14.0,12.0,15.0,66.0,750.0,0.0,40.0,1.0,0.0,3121.773449795,1032.956999795,50.722175177598615,8.243829250455633,15.277825,5.756171,40.0,50.722175177598615,10.722175,0.2842406343091102,0.7475849,
2020-11-25 11:00:00,760.0,19.0,8.0,13.0,8.0,11.0,30.0,25.6,8.9,43.0,7.0,240.0,0.0,10.0,7.0,13.0,9.0,15.0,60.0,790.0,0.0,57.0,1.0,0.0,2611.827649795,974.1170997950001,43.07764542076404,6.299359427382285,16.922355,6.700641,30.0,43.07764542076404,13.077645,0.43479616895050816,0.6444194,
2020-11-25 12:00:00,760.0,19.0,15.1,13.0,7.0,11.0,30.0,25.6,8.9,43.0,7.0,220.0,0.0,10.0,7.0,13.0,9.0,15.0,58.0,790.0,0.0,20.0,1.0,0.0,2611.827649795,974.1170997950001,43.07764542076404,6.299359427382285,14.922355,6.700641,30.0,43.07764542076404,13.077645,0.43479616895050816,0.6444194,
2020-11-25 15:00:00,760.0,19.0,14.2,14.0,11.0,13.0,28.0,22.7,9.9,38.0,10.0,300.0,0.0,10.0,7.0,14.0,8.0,15.0,54.0,750.0,0.0,60.0,0.0,0.0,2327.434799795,1072.183599795,38.30363455847197,9.494291351226025,15.696365,4.505709,28.0,38.30363455847197,10.303635,0.42395449023110293,0.6423509,
2020-11-25 16:00:00,760.0,19.0,7.1,14.0,10.0,13.0,30.0,23.2,9.5,39.0,9.0,260.0,0.0,10.0,7.0,14.0,8.0,15.0,54.0,750.0,0.0,58.0,2.0,1.0,2376.468049795,1032.956999795,39.15724672182836,8.243829250455633,14.842753,5.756171,30.0,39.15724672182836,9.157247,0.36400036543166187,0.7037776,
2020-11-25 17:00:00,760.0,19.0,14.2,15.0,-7.0,10.0,8.0,11.5,6.5,14.0,-3.0,660.0,0.0,10.0,8.0,8.0,4.0,16.0,58.0,800.0,0.0,14.0,1.0,0.0,1229.089999795,738.7574997950001,14.176527939007542,-2.5008259471920837,43.823472,10.500826,8.0,14.176527939007542,6.176528,0.0,0.6296458,
