Datetime,UNIT_ID,Ctrlmode,IU_TON_Cap,DefrostN,OU1Ta,OU1ThexLiq,OU1Tsh,OU1TLiqPipe,OU1Pc,OU1Pe,OU1Tc,OU1Te,OU1EV1pls,OU1EV2pls,OU1HP,OU1FanStep,OU1TAccIn,OU1INVCur,OU1INVrps,OU1INV2Cur,OU1INV2rps,OU1Td,OU1Fanrps,OU1Fan2rps,OU1INVCopt,OU1INV2Copt,OU1INVCOnOffN,OU1INV2COnOffN,OU1PcMKS,OU1PeMKS,OU1ThexdiMKS,Tc(Rp),Te(Rp),TCondTPIn,TCondTPOut,SCondTPin,SCondTPOut,TCondDi,SConddi,ACondSC_Te,ACondTP_Te,RLI(Te),SHdis,SHsuc,SCconddi(Rp),ModifySCDi(Rp),CCDI,RLILiq
2020-06-28 18:00:00,737.0,4.0,80.0,0.0,34.0,28.0,7.0,29.0,23.8,7.2,40.0,0.0,3000.0,220.0,12.0,6.0,10.0,14.0,129.0,0.0,0.0,74.0,710.0,0.0,60.0,0.0,0.0,0.0,2435.3079497950002,807.4040497950001,301.15,40.164114470573566,0.2617237001121566,40.28223298195286,40.164114470573566,1.7986180901579527,1.2926382231124427,28.0,1.2208770367389692,2.4269872580307026,20.219689171177702,0.120031,33.835886,9.738276,12.164114,1.973375747330685,,0.120031
2020-06-28 19:00:00,737.0,4.0,80.0,0.0,34.0,28.0,6.0,29.0,23.8,7.2,40.0,0.0,3000.0,220.0,12.0,6.0,11.0,14.0,129.0,0.0,0.0,74.0,710.0,0.0,60.0,0.0,0.0,0.0,2435.3079497950002,807.4040497950001,301.15,40.164114470573566,0.2617237001121566,40.28223298195286,40.164114470573566,1.7986180901579527,1.2926382231124427,28.0,1.2208770367389692,2.4269872580307026,20.219689171177702,0.120031,33.835886,10.738276,12.164114,1.973375747330685,,0.120031
2020-06-28 20:00:00,737.0,4.0,80.0,0.0,33.0,26.0,10.0,29.0,23.8,7.2,40.0,0.0,3000.0,220.0,12.0,6.0,10.0,14.0,129.0,0.0,0.0,75.0,710.0,0.0,60.0,0.0,0.0,0.0,2435.3079497950002,807.4040497950001,299.15,40.164114470573566,0.2617237001121566,40.28223298195286,40.164114470573566,1.7986180901579527,1.2926382231124427,26.0,1.2095352180679926,2.7274683433341522,20.219689171177702,0.134892,34.835886,9.738276,14.164114,1.9770920827938707,,0.134892
2020-06-28 21:00:00,737.0,4.0,80.0,0.0,33.0,27.0,6.0,29.0,23.8,7.0,40.0,-1.0,3000.0,220.0,12.0,6.0,10.0,14.0,129.0,0.0,0.0,75.0,710.0,0.0,60.0,0.0,0.0,0.0,2435.3079497950002,787.790749795,300.15,40.164114470573566,-0.5088612562674939,40.28223298195286,40.164114470573566,1.7986180901579527,1.2926382231124427,27.0,1.2151954787361074,2.6400942862959185,20.60958964495395,0.1281,34.835886,10.508861,13.164114,1.8375074901540578,,0.1281
2020-06-28 22:00:00,737.0,4.0,80.0,0.0,35.0,26.0,9.0,29.0,23.8,7.2,40.0,0.0,3000.0,220.0,12.0,6.0,11.0,15.0,129.0,0.0,0.0,75.0,710.0,0.0,60.0,0.0,0.0,0.0,2435.3079497950002,807.4040497950001,299.15,40.164114470573566,0.2617237001121566,40.28223298195286,40.164114470573566,1.7986180901579527,1.2926382231124427,26.0,1.2095352180679926,2.7274683433341522,20.219689171177702,0.134892,34.835886,10.738276,14.164114,2.7427962878651733,,0.134892
2020-06-28 23:00:00,737.0,4.0,80.0,0.0,33.0,28.0,4.0,27.0,23.8,7.2,40.0,0.0,3000.0,200.0,12.0,6.0,12.0,15.0,129.0,0.0,0.0,74.0,710.0,0.0,60.0,0.0,0.0,0.0,2435.3079497950002,807.4040497950001,301.15,40.164114470573566,0.2617237001121566,40.28223298195286,40.164114470573566,1.7986180901579527,1.2926382231124427,28.0,1.2208770367389692,2.4269872580307026,20.219689171177702,0.120031,33.835886,11.738276,12.164114,1.697922897514245,,0.120031
2020-06-29 00:00:00,737.0,4.0,80.0,0.0,34.0,32.0,9.0,28.0,23.8,7.2,40.0,0.0,3000.0,220.0,12.0,6.0,12.0,15.0,129.0,0.0,0.0,72.0,710.0,0.0,60.0,0.0,0.0,0.0,2435.3079497950002,807.4040497950001,305.15,40.164114470573566,0.2617237001121566,40.28223298195286,40.164114470573566,1.7986180901579527,1.2926382231124427,32.0,1.2438558129272232,1.7474022034842605,20.219689171177702,0.086421,31.835886,11.738276,8.164114,1.3244585315496804,,0.086421
2020-06-29 01:00:00,737.0,4.0,80.0,0.0,35.0,33.0,8.0,30.0,25.0,7.4,42.0,1.0,3000.0,220.0,12.0,6.0,12.0,15.0,129.0,0.0,0.0,74.0,710.0,0.0,60.0,0.0,0.0,0.0,2552.987749795,827.0173497950001,306.15,42.123610354308255,1.0182989954336676,42.24072555657432,42.123610354308255,1.7936257105794882,1.3039562966665308,33.0,1.2489996053166807,2.0083101900701483,20.15668758803671,0.099635,31.87639,10.981701,9.12361,1.2807564628351933,,0.099635
2020-06-29 02:00:00,737.0,4.0,80.0,0.0,36.0,35.0,12.0,32.0,25.6,7.2,43.0,0.0,3000.0,220.0,12.0,6.0,11.0,16.0,129.0,0.0,0.0,75.0,710.0,0.0,60.0,0.0,0.0,0.0,2611.827649795,807.4040497950001,308.15,43.07764542076404,0.2617237001121566,43.1941629142479,43.07764542076404,1.791119984075567,1.3095079727485563,35.0,1.2603425833720272,1.9064911717321409,20.648720288898765,0.09233,31.922355,10.738276,8.077645,1.141289866867618,,0.09233
2020-06-29 03:00:00,737.0,4.0,80.0,0.0,37.0,35.0,11.0,33.0,26.2,7.4,44.0,1.0,3000.0,220.0,12.0,6.0,12.0,16.0,129.0,0.0,0.0,77.0,710.0,0.0,60.0,0.0,0.0,0.0,2670.667549795,827.0173497950001,308.15,44.01540253572364,1.0182989954336676,44.131258050645556,44.01540253572364,1.788604771756641,1.3149940255148376,35.0,1.2599872337751516,2.1171785349844496,20.391325502392014,0.103827,32.984597,10.981701,9.015403,1.2850870572418354,,0.103827
2020-06-29 04:00:00,737.0,4.0,80.0,0.0,38.0,36.0,7.0,34.0,26.8,7.4,45.0,1.0,3000.0,220.0,12.0,6.0,12.0,17.0,129.0,0.0,0.0,78.0,710.0,0.0,60.0,0.0,0.0,0.0,2729.507449795,827.0173497950001,309.15,44.937479651873446,1.0182989954336676,45.05260868100146,44.937479651873446,1.786077594290562,1.320418736471685,36.0,1.265505360124489,2.1663569043882043,20.478160926921436,0.105789,33.06252,10.981701,8.93748,1.2882891840391144,,0.105789
2020-06-29 05:00:00,737.0,4.0,11.2,0.0,32.0,24.0,22.0,30.0,26.8,7.7,45.0,2.0,3000.0,40.0,12.0,1.0,15.0,11.0,50.0,0.0,0.0,78.0,350.0,0.0,60.0,0.0,0.0,0.0,2729.507449795,856.4372997950001,297.15,44.937479651873446,2.128160033334666,45.05260868100146,44.937479651873446,1.786077594290562,1.320418736471685,24.0,1.196968578362942,3.992449688725144,19.96134430367478,0.200009,33.06252,12.87184,20.93748,1.6183584873865362,,0.200009
2020-06-29 06:00:00,737.0,4.0,11.2,0.0,31.0,24.0,22.0,29.0,26.2,7.7,44.0,2.0,3000.0,40.0,12.0,1.0,15.0,10.0,48.0,0.0,0.0,74.0,350.0,0.0,60.0,0.0,0.0,0.0,2670.667549795,856.4372997950001,297.15,44.01540253572364,2.128160033334666,44.131258050645556,44.01540253572364,1.788604771756641,1.3149940255148376,24.0,1.1972270779471748,3.754356261047704,19.86568338800702,0.188987,29.984597,12.87184,20.015403,1.5378243542651346,,0.188987
2020-06-29 07:00:00,737.0,4.0,11.2,0.0,28.0,25.0,23.0,27.0,24.4,7.7,41.0,2.0,3000.0,20.0,12.0,1.0,15.0,10.0,47.0,0.0,0.0,72.0,350.0,0.0,60.0,0.0,0.0,0.0,2494.1478497949997,856.4372997950001,298.15,41.15266006868552,2.128160033334666,41.27030889773448,41.15266006868552,1.796124015276936,1.2983345759982252,25.0,1.2036250859691355,2.9310853981290483,19.45526616305137,0.150658,30.84734,12.87184,16.15266,1.228090737208135,,0.150658
2020-06-29 08:00:00,737.0,4.0,11.2,0.0,27.0,25.0,23.0,27.0,25.0,7.7,42.0,2.0,3000.0,20.0,12.0,1.0,17.0,10.0,45.0,0.0,0.0,72.0,350.0,0.0,60.0,0.0,0.0,0.0,2552.987749795,856.4372997950001,298.15,42.123610354308255,2.128160033334666,42.24072555657432,42.123610354308255,1.7936257105794882,1.3039562966665308,25.0,1.2033568040538971,3.1622087524338145,19.6132225840829,0.161228,29.87639,14.87184,17.12361,1.1322435317253465,,0.161228
2020-06-29 09:00:00,737.0,4.0,11.2,0.0,29.0,24.0,21.0,27.0,25.6,7.7,43.0,2.0,3000.0,20.0,12.0,1.0,15.0,10.0,54.0,0.0,0.0,74.0,350.0,0.0,60.0,0.0,0.0,0.0,2611.827649795,856.4372997950001,297.15,43.07764542076404,2.128160033334666,43.1941629142479,43.07764542076404,1.791119984075567,1.3095079727485563,24.0,1.1974866471156211,3.518664072091806,19.74982213244166,0.178162,30.922355,12.87184,19.077645,1.3551730015774606,,0.178162
2020-06-30 02:00:00,737.0,4.0,52.2,0.0,35.0,29.0,21.0,30.0,25.6,8.4,43.0,5.0,3000.0,200.0,12.0,1.0,14.0,10.0,69.0,0.0,0.0,71.0,350.0,0.0,60.0,0.0,0.0,0.0,2611.827649795,925.083849795,302.15,43.07764542076404,4.610211269363276,43.1941629142479,43.07764542076404,1.791119984075567,1.3095079727485563,29.0,1.2256866894408232,2.634386543566297,18.55443644444123,0.141981,27.922355,9.389789,14.077645,1.7427906607304922,,0.141981
2020-06-30 03:00:00,737.0,4.0,56.7,0.0,37.0,40.0,29.0,40.0,26.2,8.2,44.0,4.0,3000.0,80.0,12.0,1.0,14.0,11.0,70.0,0.0,0.0,72.0,350.0,0.0,60.0,0.0,0.0,0.0,2670.667549795,905.4705497949999,313.15,44.01540253572364,3.9156327252940173,44.131258050645556,44.01540253572364,1.788604771756641,1.3149940255148376,40.0,1.2898712137737645,0.9569798668229842,19.019117112481307,0.050317,27.984597,10.084367,4.015403,0.5723695795861857,,0.050317
2020-06-30 04:00:00,737.0,4.0,64.7,0.0,40.0,41.0,22.0,44.0,28.6,7.2,48.0,0.0,3000.0,220.0,12.0,3.0,9.0,13.0,104.0,0.0,0.0,80.0,400.0,0.0,60.0,0.0,0.0,0.0,2906.0271497950002,807.4040497950001,314.15,47.61508484535182,0.2617237001121566,47.727644251817765,47.61508484535182,1.778399504184809,1.3363660616238842,41.0,1.2942527241442445,1.8549164284303572,20.956646754827407,0.088512,32.384915,8.738276,6.615085,0.8686817198153467,,0.088512
2020-06-30 05:00:00,737.0,4.0,27.2,0.0,36.0,37.0,23.0,41.0,25.0,7.7,42.0,2.0,3000.0,220.0,12.0,2.0,12.0,10.0,61.0,0.0,0.0,75.0,370.0,0.0,60.0,0.0,0.0,0.0,2552.987749795,856.4372997950001,310.15,42.123610354308255,2.128160033334666,42.24072555657432,42.123610354308255,1.7936257105794882,1.3039562966665308,37.0,1.272563316950728,1.1751536626884842,19.6132225840829,0.059916,32.87639,9.87184,5.12361,0.8366975858278268,,0.059916
2020-06-30 06:00:00,737.0,4.0,30.0,0.0,37.0,39.0,21.0,43.0,26.2,7.4,44.0,1.0,3000.0,220.0,12.0,2.0,13.0,11.0,71.0,0.0,0.0,79.0,370.0,0.0,60.0,0.0,0.0,0.0,2670.667549795,827.0173497950001,312.15,44.01540253572364,1.0182989954336676,44.131258050645556,44.01540253572364,1.788604771756641,1.3149940255148376,39.0,1.2837917028131987,1.2633633957007753,20.391325502392014,0.061956,34.984597,11.981701,5.015403,0.7149130751173157,,0.061956
2020-06-30 07:00:00,737.0,4.0,30.0,0.0,39.0,44.0,23.0,47.0,28.6,7.4,48.0,1.0,3000.0,220.0,12.0,2.0,12.0,12.0,77.0,0.0,0.0,81.0,370.0,0.0,60.0,0.0,0.0,0.0,2906.0271497950002,827.0173497950001,317.15,47.61508484535182,1.0182989954336676,47.727644251817765,47.61508484535182,1.778399504184809,1.3363660616238842,44.0,1.312856397033055,1.052980090251469,20.62221517247989,0.05106,33.384915,10.981701,3.615085,0.4196226810175275,,0.05106
2020-06-30 08:00:00,737.0,4.0,30.0,0.0,39.0,44.0,23.0,44.0,28.0,7.2,47.0,0.0,3000.0,220.0,12.0,2.0,11.0,11.0,77.0,0.0,0.0,81.0,370.0,0.0,60.0,0.0,0.0,0.0,2847.1872497950003,807.4040497950001,317.15,46.73680772378418,0.2617237001121566,46.85028906167901,46.73680772378418,1.7809775379046915,1.3311007108630994,44.0,1.3133567056356523,0.8003731685834087,20.933589649171235,0.038234,34.263192,10.738276,2.736808,0.35373866040209523,,0.038234
2020-06-30 09:00:00,737.0,4.0,30.0,0.0,36.0,41.0,20.0,39.0,26.8,7.4,45.0,1.0,3000.0,220.0,12.0,2.0,12.0,11.0,79.0,0.0,0.0,78.0,370.0,0.0,60.0,0.0,0.0,0.0,2729.507449795,827.0173497950001,314.15,44.937479651873446,1.0182989954336676,45.05260868100146,44.937479651873446,1.786077594290562,1.320418736471685,41.0,1.2955667224418588,1.0425529440770593,20.478160926921436,0.05091,33.06252,10.981701,3.93748,0.44055820582200017,,0.05091
2020-07-03 08:00:00,737.0,4.0,30.0,0.0,32.0,36.0,38.0,29.0,26.2,8.7,44.0,6.0,3000.0,0.0,12.0,1.0,19.0,11.0,51.0,0.0,0.0,66.0,350.0,0.0,60.0,0.0,0.0,0.0,2670.667549795,954.503799795,309.15,44.01540253572364,5.631561393210063,44.131258050645556,44.01540253572364,1.788604771756641,1.3149940255148376,36.0,1.2658707927184607,1.6886671217033318,18.206434855571885,0.092751,21.984597,13.368439,8.015403,0.6670940050629993,,0.092751
2020-07-03 09:00:00,737.0,4.0,30.0,0.0,38.0,41.0,22.0,44.0,28.0,7.2,47.0,0.0,3000.0,220.0,12.0,2.0,11.0,12.0,93.0,0.0,0.0,82.0,370.0,0.0,29.0,0.0,0.0,0.0,2847.1872497950003,807.4040497950001,314.15,46.73680772378418,0.2617237001121566,46.85028906167901,46.73680772378418,1.7809775379046915,1.3311007108630994,41.0,1.2946865224749198,1.5879018663941515,20.933589649171235,0.075854,35.263192,10.738276,5.736808,0.6566251863804564,,0.075854
2020-07-06 03:00:00,737.0,4.0,80.0,0.0,31.0,37.0,34.0,27.0,25.6,8.2,43.0,4.0,3000.0,0.0,12.0,1.0,21.0,10.0,71.0,0.0,0.0,57.0,350.0,0.0,60.0,0.0,0.0,0.0,2611.827649795,905.4705497949999,310.15,43.07764542076404,3.9156327252940173,43.1941629142479,43.07764542076404,1.791119984075567,1.3095079727485563,37.0,1.2721784302144477,1.3484621570160318,18.888953814075013,0.071389,13.922355,17.084367,6.077645,0.5032143922317205,,0.071389
2020-07-06 04:00:00,737.0,4.0,64.7,0.0,30.0,33.0,22.0,31.0,23.2,8.9,39.0,7.0,3000.0,140.0,12.0,4.0,15.0,10.0,75.0,0.0,0.0,63.0,460.0,0.0,45.0,0.0,1.0,0.0,2376.468049795,974.1170997950001,306.15,39.15724672182836,6.299359427382285,39.275771056543306,39.15724672182836,1.8011099726401756,1.2868624556915962,33.0,1.2500163526645285,1.0972498269651576,16.92756237575774,0.06482,23.842753,8.700641,6.157247,0.6723906417551049,,0.06482
2020-07-06 05:00:00,737.0,4.0,11.2,0.0,28.0,37.0,34.0,32.0,24.4,9.2,41.0,8.0,3000.0,20.0,12.0,1.0,9.0,9.0,37.0,0.0,0.0,60.0,350.0,0.0,60.0,0.0,0.0,0.0,2494.1478497949997,1003.5370497949999,310.15,41.15266006868552,7.2823232153630215,41.27030889773448,41.15266006868552,1.796124015276936,1.2983345759982252,37.0,1.2729512673913475,0.8070370869353387,16.8895781627185,0.047783,18.84734,1.717677,4.15266,0.31572776748688663,,0.047783
